snr,comb_amp,overlap,k,bias_plus,bias_plus,bias_plus,coverage,coverage,coverage
,,,,median,mean,max,median,mean,max
0.5,15.0,False,50,99.99999570199046,100.00000283554975,100.0000339370375,0.0,0.0,0.0
0.5,15.0,True,1,64.73506439272813,64.74319611143207,64.7782867776238,0.15,0.15,0.15
0.5,15.0,True,2,100.01369808694584,100.01391888305817,100.01611378873471,0.0,0.0,0.0
0.5,15.0,True,3,100.00002311470578,99.9999956032132,100.00013278395755,0.0,0.0,0.0
0.5,15.0,True,4,100.00000166207624,99.99997309735019,100.00013235732948,0.0,0.0,0.0
0.5,15.0,True,5,100.00002313508901,99.99998734743869,100.00008732134827,0.0,0.0,0.0
0.5,15.0,True,6,100.00001120481753,99.99999666129285,100.0001192079053,0.0,0.0,0.0
0.5,15.0,True,7,100.00001088648652,99.9999983266003,100.00012789097896,0.0,0.0,0.0
0.5,15.0,True,8,100.0000125028419,99.99999318758034,100.00011387115829,0.0,0.0,0.0
0.5,15.0,True,9,99.999995433197,99.9999834507081,100.0000968918127,0.0,0.0,0.0
0.5,15.0,True,10,99.99999035201677,99.9999716036644,100.0000510889125,0.0,0.0,0.0
0.5,15.0,True,11,99.99998916165971,99.99997173915388,100.00004088227456,0.0,0.0,0.0
0.5,15.0,True,12,99.99996366775864,99.99998054831198,100.00003023564587,0.0,0.0,0.0
0.5,15.0,True,13,100.00000667118945,99.99999308862007,100.00003018767272,0.0,0.0,0.0
0.5,15.0,True,14,100.00001622627246,99.99999356934077,100.00003397833964,0.0,0.0,0.0
0.5,15.0,True,15,100.00001293604285,99.9999864912511,100.00003476913787,0.0,0.0,0.0
0.5,15.0,True,16,100.00001043422296,99.9999891436453,100.00003851438515,0.0,0.0,0.0
0.5,15.0,True,17,100.00002124774211,99.9999951226347,100.00003263912433,0.0,0.0,0.0
0.5,15.0,True,18,100.00001538742278,99.99999599749378,100.00002613465358,0.0,0.0,0.0
0.5,15.0,True,19,100.00002249578195,100.0000168408719,100.0000500285385,0.0,0.0,0.0
0.5,15.0,True,20,100.00002914049328,100.00001764029928,100.0000498623434,0.0,0.0,0.0
0.5,15.0,True,21,99.99999270642721,100.000005581861,100.0000385045719,0.0,0.0,0.0
0.5,15.0,True,22,99.99998808531794,100.00000398838725,100.00004056473207,0.0,0.0,0.0
0.5,15.0,True,23,99.99998312964146,99.99999702038542,100.00002890048904,0.0,0.0,0.0
0.5,15.0,True,24,99.99998295183988,99.9999924088179,100.00002960118046,0.0,0.0,0.0
0.5,15.0,True,25,99.99999154641884,99.99999713062937,100.00004370099339,0.0,0.0,0.0
